filepath,label
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_1_00000.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_10_00000.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_10_00001.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_10_00002.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_10_00003.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_11_00000.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_11_00001.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_11_00002.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_11_00003.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_11_00004.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_11_00005.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_11_00006.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_11_00007.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_11_00008.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_11_00009.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_11_00010.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_12_00000.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_12_00001.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_12_00002.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_12_00003.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_13_00000.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_13_00001.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_13_00002.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_13_00003.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_14_00000.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_14_00001.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_14_00002.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_15_00000.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_15_00001.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_15_00002.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_15_00003.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_15_00004.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_15_00005.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_16_00000.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_17_00000.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_17_00001.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_17_00002.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_17_00003.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_17_00004.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_17_00005.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_17_00006.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_17_00007.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_17_00008.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_18_00000.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_18_00001.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_18_00002.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_18_00003.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_18_00004.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_18_00005.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_18_00006.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_18_00007.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_18_00008.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_18_00009.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_18_00010.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_19_00000.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_19_00001.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_19_00002.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_19_00003.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_19_00004.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_19_00005.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_19_00006.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_19_00007.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_19_00008.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_19_00009.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_19_00010.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_19_00011.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_19_00012.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_19_00013.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_19_00014.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_19_00015.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_19_00016.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_19_00017.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_2_00000.npy,0
C:\Users\RadhaKrishna\Downloads\Real-time scam analyzer\features\NORMAL_CALLS\prosody_normal_2_00001.npy,0
